epoch,AP_drone,loss,lr,mAP,validation_loss
1,nan,98.55537478895073,6.8599998e-06,nan,nan
2,0.02088256982981339,57.90120631154139,1.3519999e-05,0.02088256982981339,28.960373221119784
3,nan,34.70245991557478,2.018e-05,nan,nan
4,0.4162338252685178,28.34277709292197,2.6839998e-05,0.4162338252685178,16.262933377227093
5,nan,23.700577305023927,3.3499997e-05,nan,nan
6,0.706516118762072,19.808727434106192,4.0159997e-05,0.706516118762072,8.769752874992912
7,nan,16.92845371257828,4.6819998e-05,nan,nan
8,0.850506498474072,14.738874178714735,5.348e-05,0.850506498474072,4.465572780793249
9,nan,13.12775270910148,6.0139995e-05,nan,nan
10,0.9114105338942737,11.889347183378545,6.679999e-05,0.9114105338942737,2.435339186885598
11,nan,10.878859382077872,7.3459996e-05,nan,nan
12,0.9281229434195251,10.02042780578642,8.011999e-05,0.9281229434195251,1.4990944082021354
13,nan,9.26469157402774,8.678e-05,nan,nan
14,0.9328557815708075,8.552389984778028,9.3439994e-05,0.9328557815708075,0.96995322502936
15,nan,7.8708709248577255,0.00010009999,nan,nan
16,0.9714421946075364,7.18994934188095,0.000106759995,0.9714421946075364,0.7088271116958664
17,nan,6.559621515044247,0.00011341999,nan,nan
18,0.975711522461199,5.946314854042132,0.00012007999,0.975711522461199,0.5777333127966834
19,nan,5.37622995405312,0.00012674,nan,nan
20,0.9518523188790997,4.811526788123703,0.0001334,0.9518523188790997,0.643728810647674
21,nan,4.350662859807532,0.00014005999,nan,nan
22,0.9725733116905328,3.8928342446642703,0.00014671999,0.9725733116905328,0.45091210271977733
23,nan,3.5095346491020845,0.00015338,nan,nan
24,0.9798114154546358,3.2755489933614346,0.00016003998,0.9798114154546358,0.4199422018020941
25,nan,2.9238139125237983,0.00016669999,nan,nan
26,0.9498866971016827,2.659008405255777,0.00017336,0.9498866971016827,0.3822038711286059
27,nan,2.4246603760374597,0.00018001998,nan,nan
28,0.960187720856207,2.415517307114309,0.00018667999,0.960187720856207,0.4008304720820345
29,nan,2.1862185166542787,0.00019333999,nan,nan
30,0.8813723611126871,2.2368952268030595,0.00019999998,0.8813723611126871,0.5271515559466896
31,nan,2.2003818308732597,0.00019995071,nan,nan
32,0.9823274777733887,1.8889083379625038,0.00019980286,0.9823274777733887,0.3392376665526026
33,nan,1.7700314467929932,0.00019955664,nan,nan
34,0.9673268966297973,1.6711296191651455,0.00019921226,0.9673268966297973,0.34876277116808596
35,nan,1.6264966245157173,0.00019877007,nan,nan
36,0.9838833623499557,1.58178603159269,0.0001982305,0.9838833623499557,0.349968892416803
37,nan,1.4962182095251888,0.00019759408,nan,nan
38,0.9809565124790163,1.546671284155167,0.00019686145,0.9809565124790163,0.3540831437927206
39,nan,1.4353176204555005,0.00019603333,nan,nan
40,0.9801490066280364,1.4229671049522523,0.00019511054,0.9801490066280364,0.3347293044557039
41,nan,1.3468081132475151,0.00019409398,nan,nan
42,0.7471274920270572,1.2932065658362601,0.00019298466,0.7471274920270572,1.8514205567977007
43,nan,1.2773254079272949,0.00019178368,nan,nan
44,0.046393963529861665,1.2699436647503248,0.00019049222,0.046393963529861665,24.927884209749386
45,nan,1.3066207249480557,0.00018911155,nan,nan
46,0.9748677835623624,1.1955475795954382,0.00018764303,0.9748677835623624,0.38753510051902784
47,nan,1.1688430449330662,0.00018608813,nan,nan
48,0.9734785115457202,1.139677719863151,0.00018444836,0.9734785115457202,0.30683466949434124
49,nan,1.124397515712014,0.00018272534,nan,nan
