epoch,AP_drone,loss,lr,mAP,validation_loss
1,nan,17.522662168741228,0.0001490976,nan,nan
2,0.6304204271441999,11.360349752312544,0.00022230095,0.6304204271441999,63.629056290782366
3,nan,10.120757019519806,0.00033144536,nan,nan
4,0.9417393569964948,9.356940235090107,0.0004941771,0.9417393569964948,39.62518409866202
5,nan,8.86591795384884,0.00073680625,nan,nan
6,0.9731314470253861,8.467553871926096,0.0010985604,0.9731314470253861,28.17511102349801
7,nan,8.201965928077698,0.0016379273,nan,nan
8,0.9889269353643327,7.918216144777016,0.0024421103,0.9889269353643327,22.459951943583185
9,nan,7.7522618025541306,0.0036411278,nan,nan
10,0.9947293068792372,7.573761127585527,0.0054288344,0.9947293068792372,19.00077284454274
11,nan,7.407906077802181,0.008094261,nan,nan
12,0.9628874672511172,7.205556696858899,0.01206835,0.9628874672511172,25.02650369639691
13,nan,7.034174591302872,0.017993622,nan,nan
14,0.9344383640589811,6.787669947902237,0.026828056,0.9344383640589811,25.537894116984017
15,nan,6.495153868198395,0.039999988,nan,nan
16,0.9994892637131945,5.943578838180972,0.04,0.9994892637131945,18.149101916470503
17,nan,5.457932023704052,0.04,nan,nan
18,0.9905616462277029,4.915768620362476,0.04,0.9905616462277029,20.242947461364604
19,nan,4.6097063884139065,0.04,nan,nan
20,0.9999631754332532,4.174751489513721,0.04,0.9999631754332532,14.673834982656519
21,nan,3.8763649061322214,0.04,nan,nan
22,0.9999963378883898,3.647473721294941,0.04,0.9999963378883898,16.211343317874434
23,nan,3.4369145706295967,0.04,nan,nan
24,0.9998551175129489,3.3072012423721597,0.04,0.9998551175129489,15.275883043809642
25,nan,3.1105940625071526,0.04,nan,nan
26,0.9991825753114152,2.9477526962196565,0.04,0.9991825753114152,14.999976050769845
27,nan,2.8307014286518095,0.04,nan,nan
28,0.9999902896692336,2.773127840977851,0.04,0.9999902896692336,14.420227916469976
29,nan,2.6921750009059906,0.04,nan,nan
30,0.9999018885135053,2.5852981484422113,0.04,0.9999018885135053,15.066138651521994
31,nan,2.4825233321636917,0.04,nan,nan
32,0.9546975872836004,2.6875637665063983,0.04,0.9546975872836004,28.035034173722376
33,nan,2.6454578585922714,0.04,nan,nan
34,0.9937089035992142,2.7176296202740327,0.04,0.9937089035992142,16.93393160422581
35,nan,2.6789117433130745,0.04,nan,nan
36,0.9968707184541213,2.5433857866962875,0.04,0.9968707184541213,14.980309229143156
37,nan,2.3520869925618175,0.04,nan,nan
38,0.9992163057289964,2.3215637532147495,0.04,0.9992163057289964,13.59533445419419
39,nan,2.352969793975353,0.04,nan,nan
40,0.9990031269179775,2.3204602034861765,0.04,0.9990031269179775,15.882540991382733
41,nan,2.2340671591460706,0.04,nan,nan
42,0.9999987783424551,2.1764070520580376,0.04,0.9999987783424551,13.102218350551388
43,nan,2.1222806427627803,0.04,nan,nan
44,0.9999951114579966,2.066037085549585,0.04,0.9999951114579966,13.695076976743314
45,nan,2.0811136428266765,0.04,nan,nan
